price,latitude,longitude,baths,bedrooms,Total_Area,PropertyType
220000000,31.48386866,74.3256855,0,0,32670.0,5
40000000,31.431593,74.17998,5,5,5445.0,5
9500000,31.499348,74.416959,0,3,2450.259,5
125000000,31.522069,74.355512,7,8,5445.0,5
21000000,31.506483,74.286017,5,6,2994.7609999999995,5
52000000,31.495909,74.350569,6,5,5445.0,5
16500000,31.421229,74.28556,7,6,2178.008,5
32500000,31.439978,74.209685,0,5,5445.0,5
31500000,31.437744,74.21349,0,6,5445.0,5
40000000,31.409106,74.181662,0,6,87120.0,5
13500000,31.441113,74.239683,4,4,20418.825,5
87500000,31.542114,74.355898,5,4,65340.0,5
16500000,31.500557,74.36773,0,4,2722.51,5
18500000,31.381706,74.195294,0,0,2722.51,5
23500000,31.537239,74.420211,4,4,2722.51,5
22500000,31.473474,74.429569,4,4,5445.0,5
50000000,31.441625,74.224648,7,6,4900.518,5
39500000,31.526312,74.347959,6,6,2722.51,5
27500000,31.533161,74.419481,5,4,3267.012,5
40000000,31.567912,74.399192,3,6,2994.7609999999995,5
45000000,31.537239,74.420211,6,5,5445.0,5
3200000,31.450925,74.354287,2,3,816.7529999999999,5
21200000,31.536068,74.408666,4,3,2722.51,5
23000000,31.537458,74.413323,5,4,2722.51,5
21500000,31.53327,74.41358,5,4,2722.51,5
21500000,31.533161,74.419481,5,4,2722.51,5
40000000,31.537458,74.413323,6,5,5445.0,5
26000000,31.533161,74.419481,5,4,2722.51,5
21000000,31.537458,74.413323,4,4,2722.51,5
23000000,31.53327,74.41358,5,4,2722.51,5
23000000,31.533161,74.419481,6,5,2722.51,5
57500000,31.439978,74.209685,5,5,5445.0,5
5500000,31.590234,74.300365,3,3,6806.275,5
50000000,31.53842,74.352357,6,5,5445.0,5
12000000,31.49858,74.40927,6,6,2178.008,5
65000000,31.40537,74.257078,0,0,10890.0,5
42500000,31.551184,74.284058,8,8,59895.0,5
66500000,31.400096,74.259682,0,0,10890.0,5
12000000,31.597234,74.474513,5,5,1633.506,5
40000000,31.437744,74.21349,7,6,5445.0,5
180000000,31.505678,74.348202,7,5,255915.0,5
17000000,31.441992,74.291389,6,5,26408.347,5
47500000,31.434668,74.214005,0,0,5445.0,5
17000000,31.530739,74.456184,5,5,2722.51,5
25000000,31.402513,74.292798,5,4,4900.518,5
17600000,31.374195,74.191482,6,5,2722.51,5
17500000,31.374195,74.191482,6,5,2722.51,5
35000000,31.533849,74.409633,5,4,4628.267,5
22000000,31.537458,74.413323,5,4,2722.51,5
23500000,31.533161,74.419481,6,5,2722.51,5
41500000,31.533161,74.419481,6,5,5445.0,5
23000000,31.533161,74.419481,5,4,2722.51,5
20500000,31.536068,74.408666,4,3,2722.51,5
21000000,31.536068,74.408666,4,3,2722.51,5
19200000,31.443749,74.259152,7,5,2722.51,5
7700000,31.533372,74.451342,4,3,1089.004,5
21500000,31.469155,74.470553,5,4,2722.51,5
11800000,31.374414,74.177749,4,3,1361.255,5
26500000,31.469155,74.470553,5,4,3811.514,5
70000000,31.469155,74.470553,7,6,10890.0,5
49500000,31.469155,74.470553,6,5,5445.0,5
12500000,31.539206,74.305515,3,2,14973.804999999998,5
36000000,31.533849,74.409633,5,4,4628.267,5
36000000,31.471571,74.445906,6,5,5445.0,5
51000000,31.466227,74.427137,6,5,5445.0,5
20000000,31.37108,74.190316,7,5,2722.51,5
6000000,31.518337,74.297862,2,3,544.502,5
5500000,31.518337,74.297862,2,3,544.502,5
65000000,31.526751,74.337072,0,0,59895.0,5
35000000,31.465422,74.385309,6,5,5445.0,5
52500000,31.466227,74.440012,6,5,5445.0,5
35000000,31.505678,74.348202,8,5,3267.012,5
22500000,31.537458,74.413323,5,5,2722.51,5
22500000,31.57443055,74.44369633,5,4,2722.51,5
23500000,31.71727872,74.45599191,4,4,2722.51,5
15500000,31.521703,74.298978,5,5,22324.582,5
37000000,31.533849,74.409633,5,4,4628.267,5
28000000,31.536068,74.408666,4,4,3267.012,5
23500000,31.53327,74.41358,5,4,2722.51,5
22000000,31.53327,74.41358,6,5,2722.51,5
21500000,31.537239,74.420211,5,4,2722.51,5
22500000,31.533161,74.419481,5,4,2722.51,5
60000000,31.521776,74.343538,0,0,5445.0,5
3200000,31.54913521,74.31511688,2,2,816.7529999999999,2
59800000,31.462493,74.409342,7,6,5445.0,5
66000000,31.469155,74.470553,6,6,10890.0,5
160000000,31.542114,74.355898,6,5,5445.0,5
8000000,31.47388388,74.32908019,3,2,816.7529999999999,5
22500000,31.5078,74.318733,0,0,1905.757,2
17000000,31.581615,74.341853,4,5,1905.757,5
59500000,31.462493,74.409342,6,5,5445.0,5
39500000,31.471571,74.445906,7,5,5445.0,5
16500000,31.525956,74.342206,4,4,1361.255,5
13000000,31.544308,74.383832,3,3,27497.351,2
60000000,31.521557,74.261012,0,0,5445.0,5
175000000,31.5078,74.318733,0,0,239580.0,5
110000000,31.462493,74.409342,6,6,10890.0,5
47000000,31.466007,74.448338,6,5,5445.0,5
54000000,31.495909,74.350569,6,5,5445.0,5
53500000,31.495909,74.350569,6,5,5445.0,5
34500000,31.495909,74.350569,5,4,3811.514,5
57500000,31.462493,74.409342,7,6,5445.0,5
45000000,31.5288,74.39312,4,3,4083.765,5
45000000,31.388758,74.185073,4,5,92565.0,5
30000000,31.413758,74.239726,6,5,5445.0,5
42000000,31.471571,74.445906,6,5,5445.0,5
42800000,31.471571,74.445906,6,5,5445.0,5
46000000,31.467105,74.459581,6,5,5445.0,5
4500000,31.550672,74.403963,3,3,544.502,5
21000000,31.504068,74.277177,7,7,2722.51,5
67500000,31.469155,74.470553,8,7,10890.0,5
57500000,31.46835,74.401603,6,5,5445.0,5
59000000,31.458686,74.406624,6,5,5445.0,5
13500000,31.413355,74.239926,5,5,2722.51,5
7000000,31.46278146,74.43301141,2,2,1633.506,2
9000000,31.551184,74.284058,4,3,816.7529999999999,5
45000000,31.462493,74.409342,8,6,5445.0,5
5100000,31.374414,74.177749,1,1,544.502,2
12500000,31.387824,74.193242,3,3,2178.008,5
12500000,31.394711,74.177392,3,2,2722.51,5
30000000,31.351625,74.229898,5,5,65340.0,5
90000000,31.462347,74.293642,0,0,27225.0,5
15500000,31.409619,74.166126,5,3,2722.51,5
65000000,31.5288,74.39312,5,4,5445.0,5
80000000,31.500556,74.367728,6,5,10890.0,5
13700000,31.550672,74.403963,6,5,3539.263,5
52500000,31.495909,74.350569,5,5,5445.0,5
34000000,31.452023,74.26255,5,5,5445.0,5
75000000,31.478379,74.319921,0,0,81675.0,5
37500000,31.438916,74.211559,0,0,2722.51,5
102500000,31.478745,74.407969,8,7,10890.0,5
11500000,31.426924,74.342333,4,3,1361.255,5
42500000,31.471571,74.445906,6,5,5445.0,5
200000000,31.435401,74.195094,10,10,21780.0,5
11000000,31.434522,74.266148,0,0,1361.255,5
10000000,31.432105,74.349117,2,2,1361.255,5
11500000,31.433607,74.344912,4,3,1361.255,5
190000000,31.486504,74.316745,0,0,21780.0,5
18800000,31.446824,74.404736,5,4,2722.51,5
11000000,31.3878231,74.19324493,3,3,1361.255,5
56000000,31.506483,74.286017,5,5,5445.0,5
23600000,31.462493,74.409342,6,4,2722.51,5
37000000,31.533849,74.409633,0,4,4628.267,5
38000000,31.533849,74.409633,0,4,4628.267,5
50000000,31.506008,74.293156,0,0,5445.0,5
10900000,31.390645,74.252887,4,4,1361.255,5
5600000,31.410095,74.222553,4,3,816.7529999999999,5
33000000,31.462493,74.409342,5,4,2722.51,5
29500000,31.462493,74.409342,5,4,2722.51,5
75000000,31.5288,74.39312,6,5,76230.0,5
7900000,31.6064955,74.23177332,4,3,2722.51,5
45000000,31.487455,74.468894,6,5,5445.0,5
20000000,31.500556,74.367728,6,6,2722.51,5
100000000,31.500556,74.367728,6,5,10890.0,5
32500000,31.446824,74.404736,6,5,5445.0,5
34000000,31.446824,74.404736,6,5,5445.0,5
52500000,31.54916695,74.31801036,5,5,5445.0,5
160000000,31.505678,74.348202,5,3,10890.0,5
40000000,31.495909,74.350569,4,4,3811.514,5
54500000,31.495909,74.350569,0,0,5445.0,5
52500000,31.495909,74.350569,6,5,5445.0,5
140000000,31.522361,74.347172,0,0,10890.0,5
19000000,31.498507,74.339025,4,3,2722.51,2
55000000,31.495909,74.350569,5,5,5445.0,5
37500000,31.495909,74.350569,4,4,3811.514,5
32000000,31.495427,74.423858,7,5,70785.0,5
10000000,31.484967,74.4104,3,3,1089.004,5
44500000,31.462493,74.409342,6,5,5445.0,5
9000000,31.490127,74.418805,0,3,1361.255,5
7800000,31.490127,74.418805,0,3,11706.793,5
33000000,31.446824,74.404736,6,5,5445.0,5
75000000,31.5078,74.318733,0,0,10890.0,5
55000000,31.466007,74.448338,0,5,5445.0,5
33500000,31.495909,74.350569,4,4,3811.514,5
200000000,31.5288,74.39312,6,5,87120.0,5
65000000,31.5288,74.39312,6,5,5445.0,5
6550000,31.470253,74.214306,2,3,1089.004,5
51500000,31.529092,74.382048,0,0,65340.0,5
42500000,31.462493,74.409342,6,5,5445.0,5
39900000,31.462493,74.409342,6,5,2722.51,5
16900000,31.385627,74.196817,6,5,2178.008,5
6000000,31.478013,74.304285,3,3,1361.255,2
7200000,31.381284,74.251868,2,3,1361.255,5
14500000,31.498507,74.33903,3,3,2722.51,2
11500000,31.374249,74.176404,4,3,1361.255,5
17600000,31.364887,74.186554,6,5,2722.51,5
11000000,31.56069756,74.42132568,4,3,1633.506,5
5000000,31.482881,74.418933,4,3,6806.275,5
26800000,31.420167,74.285746,6,5,5445.0,5
40000000,31.438916,74.211559,6,5,87120.0,5
47000000,31.409546,74.258466,0,0,10890.0,5
4000000,31.425257,74.383922,2,2,816.7529999999999,5
3200000,31.470253,74.214306,1,2,816.7529999999999,1
32900000,31.471571,74.445906,5,4,2722.51,5
47000000,31.475378,74.373808,6,5,5445.0,5
37000000,31.471571,74.445906,6,5,5445.0,5
37500000,31.478745,74.407969,6,5,5445.0,5
8200000,31.421266,74.283972,4,4,1089.004,5
70000000,31.486906,74.385896,8,8,119790.0,5
62500000,31.471571,74.445906,6,5,5445.0,5
16000000,31.582612,74.416838,5,5,1905.757,5
44000000,31.471571,74.445906,6,5,5445.0,5
45000000,31.465422,74.385309,6,5,5445.0,5
41000000,31.471571,74.445906,6,5,5445.0,5
26000000,31.460187,74.432459,4,4,3267.012,5
52500000,31.462493,74.409342,6,5,5445.0,5
26500000,31.420167,74.285746,7,6,5445.0,5
46000000,31.512228,74.325078,5,5,5445.0,5
14500000,31.460187,74.432459,5,4,2994.7609999999995,2
19700000,31.533849,74.409633,4,3,2722.51,2
12500000,31.584485,74.481428,0,5,2178.008,5
49000000,31.471571,74.445906,6,5,5445.0,5
3600000,31.376356,74.263701,2,2,1361.255,2
38000000,31.461468,74.415529,3,3,26680.598,2
29500000,31.471571,74.445906,5,4,2722.51,5
27000000,31.494408,74.437666,4,3,2722.51,5
5300000,31.375165,74.253992,2,2,816.7529999999999,5
26500000,31.552647,74.385338,0,3,5445.0,5
23500000,31.494408,74.437666,6,4,2722.51,5
45000000,31.471571,74.445906,6,5,5445.0,5
27500000,31.462493,74.409342,5,4,2722.51,5
11500000,31.375514,74.172735,4,3,1361.255,5
7200000,31.626564,74.281826,3,4,1905.757,5
60000000,31.471571,74.445906,6,5,5445.0,5
39500000,31.462493,74.409342,6,5,5445.0,5
45000000,31.462493,74.409342,6,5,5445.0,5
14500000,31.48601326,74.3803312,4,4,1633.506,5
22500000,31.374451,74.183121,7,5,3267.012,5
27500000,31.471571,74.445906,5,4,2722.51,5
108500000,31.478745,74.407969,7,7,10890.0,5
32500000,31.483283,74.395723,6,5,5445.0,5
47500000,31.462493,74.452372,6,5,5445.0,5
45000000,31.467105,74.459581,6,5,5445.0,5
43200000,31.471571,74.445906,6,5,5445.0,5
53000000,31.471132,74.445162,6,5,5445.0,5
20500000,31.446824,74.404736,5,4,2722.51,5
47500000,31.462493,74.409342,6,5,5445.0,5
31000000,31.537458,74.413323,0,5,3267.012,5
31500000,31.483283,74.395723,6,5,5445.0,5
39000000,31.462493,74.409342,5,4,2722.51,5
25000000,31.461761,74.36834,4,4,2722.51,5
29000000,31.462493,74.409342,5,4,2722.51,5
19500000,31.550818,74.39641,5,4,2722.51,5
43500000,31.471571,74.445906,6,5,5445.0,5
32000000,31.462493,74.409342,5,4,2722.51,5
17500000,31.371391,74.170096,7,5,2722.51,5
41700000,31.471571,74.445906,6,5,5445.0,5
18000000,31.52814363,74.26180065,4,4,2722.51,5
5500000,31.499216,74.349013,2,2,1361.255,5
24000000,31.547381,74.393892,3,3,2722.51,5
8200000,31.593305,74.309363,3,3,816.7529999999999,5
110000000,31.512228,74.325078,0,0,119790.0,5
19000000,31.494993,74.27294,4,5,2722.51,5
57500000,31.49797599,74.34614539,5,5,5445.0,5
9000000,31.477098,74.357271,4,4,1361.255,5
23500000,31.467838,74.39126,5,4,2722.51,5
15000000,31.534984,74.294887,6,5,1633.506,5
47500000,31.528941,74.454131,8,7,5445.0,5
35000000,31.513142,74.436994,6,5,5445.0,5
32000000,31.471571,74.445906,5,4,2722.51,5
20000000,31.495945,74.37718,3,3,2722.51,5
37500000,31.465788,74.237881,6,6,5445.0,5
41500000,31.471571,74.445906,6,5,5445.0,5
35000000,31.475378,74.373808,6,5,5445.0,5
37500000,31.456892,74.392118,6,5,5445.0,5
110000000,31.469155,74.470553,7,6,10890.0,5
42500000,31.478745,74.407969,6,5,5445.0,5
47000000,31.462493,74.409342,6,5,5445.0,5
22200000,31.547381,74.393892,3,3,2722.51,5
45000000,31.466007,74.448338,6,5,5445.0,5
30000000,31.462493,74.409342,6,5,2722.51,5
21000000,31.486504,74.404778,5,4,2722.51,5
10500000,31.524191,74.453995,3,3,1361.255,5
50000000,31.452023,74.26255,7,5,4900.518,5
67800000,31.462493,74.409342,7,6,5445.0,5
47500000,31.467545,74.4207,0,5,5445.0,5
60000000,31.478672,74.375424,6,5,5445.0,5
13500000,31.460187,74.432459,3,3,31036.614,2
13700000,31.460187,74.432459,3,3,31036.614,2
